fact_id,food_beverage_id,polymer_id,biocoagulation_id,biological_sample_id,food_item,food_category,sample_preparation,quality_parameter,particle_number_numeric,size_range_um_standardized,polymer_type_standardized,detection_method_standardized,source_table
MP_0024,FW_0024,POLY_024,BC_024,BS_024,Clam (M. meretrix),Marine animal origin,"Digestion: 10% KOH (125 rpm, 40°C, 72 h); staining: Nile red 5 µg/mL (30 min)",Not Reported,0.5,21.06–1500 µm,PVA,Fluorescence microscopy,food_water_beverages
MP_0025,FW_0025,POLY_025,BC_025,BS_025,Clam (M. meretrix),Marine animal origin,"Digestion: 10% KOH (300 rpm, 60°C, 6 h); density separation: saturated NaCl solution (ρ = 1.2 g/mL)","Recovery (PS or PP 50 μm 84% - 86%, PS or PP 100 μm 96% - 100%)",0.59,100–1640 µm,CA,Optical microscopy,food_water_beverages
MP_0026,FW_0026,POLY_026,BC_026,BS_026,"Mussel (M. edulis, P. viridis)",Marine animal origin,"Digestion: 10% KOH (300 rpm, 60°C, 6 h); density separation: saturated NaCl solution (ρ = 1.2 g/mL)","Recovery (PS or PP 50 μm 84% - 86%, PS or PP 100 μm 96% - 100%)",0.59,100–1640 µm,PEEK,Optical microscopy,food_water_beverages
MP_0027,FW_0027,POLY_027,BC_027,BS_027,Clam (M. veneriformis),Marine animal origin,"Digestion: 10% KOH (sonication 5 min; incubation 90 rpm, 60°C, 24 h)",Not Reported,1.2,57–8639 µm,PEI,Optical microscopy,food_water_beverages
MP_0028,FW_0028,POLY_028,BC_028,BS_028,Clam (R. philippinarum),Marine animal origin,"Digestion: 10% KOH (sonication 5 min; incubation 90 rpm, 60°C, 24 h)",Not Reported,1.9,57–8639 µm,RY,Optical microscopy,food_water_beverages
MP_0029,FW_0029,POLY_029,BC_029,BS_029,Clam (R. philippinarum),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24–48 h); density separation: NaCl solution",Not Reported,2.5,5–5000 µm,PE,Optical microscopy,food_water_beverages
MP_0030,FW_0030,POLY_030,BC_030,BS_030,"Clam (R. philippinarum, M. meretrix); razor clam (S. constricta)",Marine animal origin,"Digestion: 10% KOH (ultrasound 5 min + 90 rpm, 24 h); density separation: NaCl (ρ = 1.2 g/cm3) + KI (ρ = 1.55 g/cm3)",Not Reported,1,40–5000 µm,RY,Optical microscopy,food_water_beverages
MP_0031,FW_0031,POLY_031,BC_031,BS_031,Clam (S. plana),Marine animal origin,"Digestion: 10% KOH (rt, 48 h)",Not Reported,0.05,1.8 µm,PAN,Optical microscopy,food_water_beverages
MP_0032,FW_0032,POLY_032,BC_032,BS_032,Clam (S. subcrenata),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24–48 h); density separation: NaCl solution",Not Reported,10.5,5–5000 µm,PE,Optical microscopy,food_water_beverages
MP_0033,FW_0033,POLY_033,BC_033,BS_033,Clam (T. granosa),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24–48 h); density separation: NaCl solution",Not Reported,4.1,5–5000 µm,PE,Optical microscopy,food_water_beverages
MP_0034,FW_0034,POLY_034,BC_034,BS_034,Clam (V. philippinarum),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h); density separation: CaCl2 (ρ = 1.4 g/mL)",Not Reported,0.13,10–5000 µm,PA-6,Optical microscopy,food_water_beverages
MP_0035,FW_0035,POLY_035,BC_035,BS_035,Clamp (A. purpuratus),Marine animal origin,Digestion: 30% H2O2,Not Reported,7.1,10–5000 µm,PE,Optical microscopy,food_water_beverages
MP_0036,FW_0036,POLY_036,BC_036,BS_036,Clamp (A. umbonella),Marine animal origin,Digestion: 30% H2O2,Not Reported,6.9,10–5000 µm,PE,Optical microscopy,food_water_beverages
MP_0037,FW_0037,POLY_037,BC_037,BS_037,Cockle,Marine animal origin,"Digestion: 10% KOH (300 rpm, 60°C, 24 h)",Not Reported,2.46,> 15 µm,PE,Optical microscopy,food_water_beverages
MP_0038,FW_0038,POLY_038,BC_038,BS_038,Crab (C. maenas),Marine animal origin,"Microwave assisted digestion: 65% HNO3, 30% H2O2",Recovery (34%),0,10–5000 µm,UNKNOWN,Optical microscopy,food_water_beverages
MP_0039,FW_0039,POLY_039,BC_039,BS_039,Crab (H. sanguineus),Marine animal origin,"Microwave assisted digestion: 65% HNO3, 30% H2O2",Recovery (34%),26,Not Reported,UNKNOWN,Optical microscopy,food_water_beverages
MP_0040,FW_0040,POLY_040,BC_040,BS_040,Crab (muscle - P. armatus),Marine animal origin,"Digestion: 10% KOH (40°C, 48 h)",Not Reported,0.256,Fibers 50–8000 µm; Fragments <500 µm,UNKNOWN,Optical microscopy,food_water_beverages
MP_0041,FW_0041,POLY_041,BC_041,BS_041,Crab (P. pelagicus),Marine animal origin,"Digestion: 10% KOH (60 °C, 24 h)",Not Reported,0.14,130–286 µm,PP,Optical microscopy,food_water_beverages
MP_0042,FW_0042,POLY_042,BC_042,BS_042,"Crab (P. trituberculatus, C. japonica, D. japonica, M. planipes)",Marine animal origin,"Digestion: 10% KOH (60 rpm, 40°C, 24–48 h)",Not Reported,0,19.97–4976.22 µm,CELLOPHANE,µ-FTIR,food_water_beverages
