food_beverage_id,food_item,food_category,sample_preparation,particle_number_numeric,size_range_um_standardized,polymer_type_standardized,detection_method_standardized
FW_0035,Clamp (A. purpuratus),Marine animal origin,Digestion: 30% H2O2,7.1,10–5000 µm,PE,Optical microscopy
FW_0036,Clamp (A. umbonella),Marine animal origin,Digestion: 30% H2O2,6.9,10–5000 µm,PE,Optical microscopy
FW_0037,Cockle,Marine animal origin,"Digestion: 10% KOH (300 rpm, 60°C, 24 h)",2.46,> 15 µm,PE,Optical microscopy
FW_0038,Crab (C. maenas),Marine animal origin,"Microwave assisted digestion: 65% HNO3, 30% H2O2",0,10–5000 µm,UNKNOWN,Optical microscopy
FW_0039,Crab (H. sanguineus),Marine animal origin,"Microwave assisted digestion: 65% HNO3, 30% H2O2",26,Not Reported,UNKNOWN,Optical microscopy
FW_0040,Crab (muscle - P. armatus),Marine animal origin,"Digestion: 10% KOH (40°C, 48 h)",0.256,Fibers 50–8000 µm Fragments <500 µm,UNKNOWN,Optical microscopy
FW_0041,Crab (P. pelagicus),Marine animal origin,"Digestion: 10% KOH (60 °C, 24 h)",0.14,130–286 µm,PP,Optical microscopy
FW_0042,"Crab (P. trituberculatus, C. japonica, D. japonica, M. planipes)",Marine animal origin,"Digestion: 10% KOH (60 rpm, 40°C, 24–48 h)",0,19.97–4976.22 µm,CELLOPHANE,µ-FTIR
FW_0043,Crabs (P. armatus),Marine animal origin,"Digestion: 10% KOH (135 rpm, 60°C, 24 h); ASE dichloromethane (180°C, 1500 psi)",0,Not Reported,PS,Py-GC/MS
FW_0044,Croaker (O. ruber),Marine animal origin,"Digestion: 30% H2O2 (65°C, 24–48 h)",0,Not Reported,UNKNOWN,Optical microscopy
FW_0045,Flat fish (C. abbreviatus),Marine animal origin,"Digestion: 35% H2O2; 4% KOH (60°C, 72 h) + 68% HClO4 and 65% HNO3 (Few minutes)",11.3,Not Reported,UNKNOWN,Optical microscopy
FW_0046,Girdled horn snail (C. cingulata),Marine animal origin,Digestion: 30% H2O2,3.7,10–5000 µm,PE,Optical microscopy
FW_0047,Goldstripre sardinella (S. gibbosa),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h)",0.1,115–210 µm,PE,Optical microscopy
FW_0048,Greater lizardfish (S. tumbil),Marine animal origin,"Digestion: 35% H2O2; 4% KOH (60°C, 72 h) + 68% HClO4 and 65% HNO3 (Few minutes)",12,Not Reported,UNKNOWN,Optical microscopy
FW_0049,Haddock (M. aeglefinus),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h + rt, 24–48 h)",0.21,5–5000 µm,PE,Optical microscopy
FW_0050,Limpet (P. vulgata),Marine animal origin,"Microwave assisted digestion: 65% HNO3, 30% H2O3",0,Not Reported,UNKNOWN,Optical microscopy
FW_0051,Mackerel (Canned in sunflower oil),Marine animal origin,"Digestion: 10% KOH (40 °C, 24 h)",0.15,Fibers 1–5 mm Fragments 10–50 µm Films 100–500 µm,PET,Optical microscopy
FW_0052,Mackerel (M. cordyla),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h)",0,115–210 µm,PE,Optical microscopy
FW_0053,Mackerel (R. kanagurta - Dried),Marine animal origin,"Digestion: 10% KOH (40°C, 72 h); density separation: 4.4 M NaI (ρ = 1.5 g/mL)",0.47,1–1000 µm,PP,Optical microscopy
FW_0054,Mackerel (R. kanagurta),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h)",0.13,115–210 µm,PE,Optical microscopy
FW_0055,"Mackerel (R. kanagurta, S. commerson)",Marine animal origin,"Digestion: 30% H2O2 (65°C, 24–48 h)",0,Not Reported,UNKNOWN,Optical microscopy
FW_0056,Mackerel (S. colias),Marine animal origin,"Digestion: 10% KOH (60°C, 24h)",0.6,Not Reported,PE,Optical microscopy
FW_0057,Mackerel (S. scombrus),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h + rt, 24–48 h)",0.29,7–5000 µm,PE,Optical microscopy
FW_0058,Mackerel (T. japonicus),Marine animal origin,"Digestion: 10% KOH + 14% EDTA + 30% H2O2 (40°C, 48 h)",8.33,>30 µm,PP,Optical microscopy
FW_0059,Mackerel (T. trachurus),Marine animal origin,"Digestion: 10% KOH (60°C, 24h)",0.7,Not Reported,PE,Optical microscopy
FW_0060,Manila Clam (Farmed),Marine animal origin,"Digestion: 69–71% HNO3 (90°C, 4 h)",11.3,Not Reported,UNKNOWN,Optical microscopy
FW_0061,Manila Clam (T. philippinarum),Marine animal origin,"Digestion: 10% KOH (100 rpm, 60°C, 24 h); density separation: lithium metatungstate (ρ = 1.6 g/cm3)",1.15,100–200 µm,PE,µ-FTIR
FW_0062,Manila Clam (Wild),Marine animal origin,"Digestion: 69–71% HNO3 (90°C, 4 h)",8.4,Not Reported,UNKNOWN,Optical microscopy
FW_0063,Mullet (C. subviridis - Dried),Marine animal origin,"Digestion: 10% KOH (40°C, 72 h); density separation: 4.4 M NaI (ρ = 1.5 g/mL)",0.3,1–1000 µm,PS,Optical microscopy
FW_0064,Mullet (L. klunzingeri),Marine animal origin,"Digestion: 10% KOH (40°C, 48 h)",0.275,Fibers 50–8000 µm Fragments <500 µm,UNKNOWN,Optical microscopy
FW_0065,Mullet (L. klunzingri),Marine animal origin,"Digestion: 30% H2O2 (65°C, 24–48 h)",0,Not Reported,UNKNOWN,Optical microscopy
FW_0066,Mussel,Marine animal origin,"Digestion: 10% KOH (300 rpm, 60°C, 24 h)",0.76,> 15 µm,PE,Optical microscopy
FW_0067,Mussel,Marine animal origin,"Digestion: lipase, protease (200 rpm, 60°C, 24 h); density separation NaCL (ρ = 1.2 g/mL)",1.43,50–1000 µm,PE,µ-FTIR
FW_0068,Mussel,Marine animal origin,"Digestion:10% KOH (rt, 21 days)",2.19,20–5000 µm,UNKNOWN,Optical microscopy
FW_0069,"Mussel (M. edulis - Depurated, 3 days)",Marine animal origin,"Digestion: 69% NHO3 (rt, 24h + 100°C, 2 h); dilution: water (1:10 v/v, 80°C)",0.24,Not Reported,UNKNOWN,Optical microscopy
FW_0070,Mussel (M. edulis - Farmed),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h)",2.22,Not Reported,PS,Optical microscopy
FW_0071,Mussel (M. edulis - Farmed),Marine animal origin,"Digestion: 30% H2O2 (55–65 °C, until full H2O2 evaporation); density separation: NaCl (ρ = 250 g/L)",178,Not Reported,UNKNOWN,Optical microscopy
FW_0072,"Mussel (M. edulis - Farmed, live)",Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h; rt, 24–48 h); density separation: NaCl (ρ = 1.2 g/mL)",0.9,33–4700 µm,PP,Optical microscopy
FW_0073,"Mussel (M. edulis - Farmed, processed)",Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h; rt, 24–48 h); density separation: NaCl (ρ = 1.2 g/mL)",1.4,33–4700 µm,PP,Optical microscopy
FW_0074,Mussel (M. edulis - Untreated),Marine animal origin,"Digestion: 69% NHO3 (rt, 24h + 100°C, 2 h); dilution: water (1:10 v/v, 80°C)",0.36,Not Reported,UNKNOWN,Optical microscopy
FW_0075,Mussel (M. edulis - Wild),Marine animal origin,"Digestion: 30% H2O2 (55–65 °C, until full H2O2 evaporation); density separation: NaCl (ρ = 250 g/L)",106,Not Reported,UNKNOWN,Optical microscopy
FW_0076,Mussel (M. edulis - Wild),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h; rt, 24–48 h); density separation: NaCl (ρ = 1.2 g/mL)",0.7,33–4700 µm,PEST,Optical microscopy
FW_0077,Mussel (M. edulis and P. viridis),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24–48 h); density separation: NaCl solution",0.77,250–1000 µm,PET,Optical microscopy
FW_0078,Mussel (M. edulis),Marine animal origin,"Digestion: 966 UHb/mL Corolase® 7089 (60°C, 24h)",10.4,Not Reported,UNKNOWN,Optical microscopy
FW_0079,Mussel (M. edulis),Marine animal origin,"Digestion: 10% KOH (100 rpm, 60°C, 24 h); density separation: lithium metatungstate (ρ = 1.6 g/cm3)",0.68,100–200 µm,PE,µ-FTIR
FW_0080,Mussel (M. edulis),Marine animal origin,"Digestion: 0.3125% trypsin (250 rmp, 38–42°C, 30 min)",1.05,200–10000 µm,PA,ATR-FTIR
FW_0081,Mussel (M. edulis),Marine animal origin,"Digestion: HNO3:HClO4 4/1 v/v ((80°C, 10 min + 30 min cooling time) * 2)",0.35,200–1500 µm,UNKNOWN,Optical microscopy
FW_0082,Mussel (M. edulis),Marine animal origin,"Proteinase K (50 °C, 2h + shaking 20 min + 60 °C, 20 min); H2O2 ( rt, 24 h)",6,30–2000 µm,UNKNOWN,Optical microscopy
FW_0083,Mussel (M. edulis),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h + rt, 24–48 h); density separation: NaCl",1.5,33–4700 µm,CP,Optical microscopy
FW_0084,Mussel (M. edulis),Marine animal origin,"Digestion: 10% KOH (50°C, 3 h); density separation: NaI (ρ = 2.8 g/mL)",0,Not Reported,UNKNOWN,TGA-FTIR-GC/MS
FW_0085,Mussel (M. edulis),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h); density separation: as such (4 h) + 50% KI (4 h)",0.61,50–100 µm,PP,µ-FTIR
FW_0086,Mussel (M. edulis),Marine animal origin,"Digestion: 10% KOH (60°C, 24h); density separation: as such (4h) + 50% KI (4h)",0.9,30–200 µm,PP,µ-FTIR
