food_beverage_id,food_item,food_category,sample_preparation,particle_number_numeric,size_range_um_standardized,polymer_type_standardized,detection_method_standardized
FW_0145,Oyster (C. gigas),Marine animal origin,Digestion:10% KOH (60°C),0.6,> 500 µm,UNKNOWN,Optical microscopy
FW_0146,"Oyster (C. gigas, C. angulate, C. hongkongensis, C. sikamea)",Marine animal origin,"Digestion: 10% KOH + 30% H2O2 (60°C, 48 h)",2.93,20.34–4807.22 µm,CP,Optical microscopy
FW_0147,Oyster (C. hongkongensis),Marine animal origin,"Digestion: 10% KOH (80 rpm, 40°C, 48–96 h)",3.2,Not Reported,RY,Optical microscopy
FW_0148,Oyster (C. virginica),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h)",7.6,Not Reported,UNKNOWN,"Optical microscopy,"
FW_0149,Oyster (O. denselamellosa),Marine animal origin,"Digestion: 10% KOH + 30% H2O2 (60°C, 24 h)",1.67,74–2000 µm,UNKNOWN,Optical microscopy
FW_0150,Oyster (O. edulis),Marine animal origin,"Drying: (60°C, 24 h); density separation: NaCl (ρ = 1.2 g /mL); filtration; digestion; 15% H2O2",0,11–5000 µm,PE,Optical microscopy
FW_0151,Oyster (P. radiata),Marine animal origin,Digestion: 30% H2O2,3.9,10–5000 µm,PE,Optical microscopy
FW_0152,Oyster (Port area),Marine animal origin,"Digestion: 10% KOH (70 rpm, 60–65°C, 24 h + rt, 24 h); density separation: saturated NaI solution; staining: 0.1 µg/L Nile red",0.15,100–500 µm,PET,Optical microscopy
FW_0153,Oyster (S. cucullata),Marine animal origin,"Digestion: 10% KOH (80 rpm, 65°C, 24 h); density separation: NaCl",1.4,Not Reported,PET,Optical microscopy
FW_0154,Oyster (S. forskalii - Coastal fishery village),Marine animal origin,"Digestion: 69% NHO3 (rt, 24 h + 100°C, 2 h); dilution: water (1:10 v/v, 80°C)",0.57,Not Reported,PS,Optical microscopy
FW_0155,Oyster (S. forskalii - Royal Thai Naval base),Marine animal origin,"Digestion: 69% NHO3 (rt, 24 h + 100°C, 2 h); dilution: water (1:10 v/v, 80°C)",0.43,Not Reported,PS,Optical microscopy
FW_0156,Oyster (S. forskalii - Tourist destination),Marine animal origin,"Digestion: 69% NHO3 (rt, 24 h + 100°C, 2 h); dilution: water (1:10 v/v, 80°C)",0.37,Not Reported,PS,Optical microscopy
FW_0157,Patagonian scallops (Z. patagonica),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h + rt, 24–48 h)",0.32,10–5000 µm,PE,Optical microscopy
FW_0158,Periwinkle (L. littorea),Marine animal origin,"Microwave assisted digestion: 65% HNO3, 30% H2O4",2,Not Reported,UNKNOWN,Optical microscopy
FW_0159,Periwinkle (L. littorea),Marine animal origin,"Microwave assisted digestion: 65% HNO3, 30% H2O3",20,10–5000 µm,UNKNOWN,Optical microscopy
FW_0160,Periwinkle (Littoraria sp - Coastal fishery village),Marine animal origin,"Digestion: 69% NHO3 (rt, 24 h + 100°C, 2 h); dilution: water (1:10 v/v, 80°C)",0.23,Not Reported,PS,Optical microscopy
FW_0161,Periwinkle (Littoraria sp - Royal Thai Naval base),Marine animal origin,"Digestion: 69% NHO3 (rt, 24 h + 100°C, 2 h); dilution: water (1:10 v/v, 80°C)",0.17,Not Reported,PS,Optical microscopy
FW_0162,Plaice (P. platessa),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h + rt, 24–48 h)",0.77,8–5000 µm,PE,Optical microscopy
FW_0163,Prawn (P. aemisulcatus),Marine animal origin,"Digestion: 10% KOH (40°C, 48 h)",0.36,Fibers 50–8000 µm Fragments <500 µm,UNKNOWN,Optical microscopy
FW_0164,Prawn (P. esculentus),Marine animal origin,"Digestion: 10% KOH (135 rpm, 60°C, 24 h); ASE dichloromethane (180°C, 1500 psi)",0,Not Reported,PS,Py-GC/MS
FW_0165,Prawn (P. indicus),Marine animal origin,"Digestion: 35% H2O2; 4% KOH (60°C, 72 h) + 68% HClO4 and 65% HNO3 (Few minutes)",13.8,Not Reported,UNKNOWN,Optical microscopy
FW_0166,Prawn (P. kerathurus),Marine animal origin,"Drying: (60°C, 24 h); density separation: NaCl (ρ = 1.2 g /mL); filtration; digestion; 15% H2O2",1,13–5000 µm,PE,Optical microscopy
FW_0167,Prawn (S. semisulcatus),Marine animal origin,"Digestion: 35% H2O2; 4% KOH (60°C, 72 h) + 68% HClO4 and 65% HNO3 (Few minutes)",12,Not Reported,UNKNOWN,Optical microscopy
FW_0168,Rainbow sardine (D. acuta),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h)",0.1,115–210 µm,PE,Optical microscopy
FW_0169,Razor clams (S. patula),Marine animal origin,Digestions: 10% KOH (24 h); density separation: NaCl (ρ = 1.2 g/cm3),8.84,Not Reported,PET,Optical microscopy
FW_0170,Sardine (S. longiceps),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h)",0.1,115–210 µm,PE,Optical microscopy
FW_0171,Sardines (S. neopilchardus),Marine animal origin,"Digestion: 10% KOH (135 rpm, 60°C, 24 h); ASE dichloromethane (180°C, 1500 psi)",0,Not Reported,PS,Py-GC/MS
FW_0172,Scallop (C. farreri),Marine animal origin,"Digestion: 10% KOH (sonication 5 min; incubation 90 rpm, 24 h, 60°C)",5.2,25–5000 µm,CP,Optical microscopy
FW_0173,Scallop (P. yessoensis),Marine animal origin,"Digestion: 10% KOH (100 rpm, 60°C, 24 h); density separation: lithium metatungstate (ρ = 1.6 g/cm3)",1.21,100–200 µm,PE,µ-FTIR
FW_0174,Scallop (P. yessoensis),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24–48 h); density separation: NaCl solution",2.3,5–5000 µm,PE,Optical microscopy
FW_0175,Scampi (N. norvegicus),Marine animal origin,"Drying: (60°C, 24 h); density separation: NaCl (ρ = 1.2 g /mL); filtration; digestion; 15% H2O2",1,14–5000 µm,PE,Optical microscopy
FW_0176,Scottish scallops (P. maximus),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h + rt, 24–48 h)",0.17,9–5000 µm,PE,Optical microscopy
FW_0177,Sea bass (S. scriba),Marine animal origin,"Digestion: 10% KOH (60°C, 24h)",6.03,> 0.45 µm,UNKNOWN,Raman
FW_0178,Sea urnich (P. lividus),Marine animal origin,"Drying: (60°C, 24 h); density separation: NaCl (ρ = 1.2 g /mL); filtration; digestion; 15% H2O2",1,15–5000 µm,PE,Optical microscopy
FW_0179,Seabass (D. labrax),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h + rt, 24–48 h)",0.18,6–5000 µm,PE,Optical microscopy
FW_0180,Seabass (D. labrax),Marine animal origin,"Digestion: 10% KOH (60°C, 24h)",0.4,Not Reported,PE,Optical microscopy
FW_0181,Seabass (L. maculatus),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 72 h)",0,Not Reported,UNKNOWN,Optical microscopy
FW_0182,Shad (A. chacunda),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h)",0.03,115–210 µm,PE,Optical microscopy
FW_0183,Shrimp (A. djedaba),Marine animal origin,"Digestion: 10% KOH (40°C, 48 h)",8,Not Reported,UNKNOWN,Optical microscopy
FW_0184,Shrimp (C. affinis),Marine animal origin,"Digestion: 65% HNO3 + 30% H2O2 (1:3, v/v); density separation: NaI solution (ρ = 1.8 g/mL)",8.6,50–5000 µm,UNKNOWN,Optical microscopy
FW_0185,Shrimp (C. allmanni),Marine animal origin,Digestions: 10% KOH (50°C overnight); density separation: NaCl (ρ = 1.2 g/cm3),1.8,43–9000 µm,PE,Optical microscopy
FW_0186,Shrimp (F. indicus),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h)",0.39,157–2785 µm,PA,Optical microscopy
FW_0187,Shrimp (F. indicus),Marine animal origin,"Digestion: 10% KOH (60 °C, 24 h)",0,130–286 µm,PP,Optical microscopy
FW_0188,Shrimp (M. affini),Marine animal origin,"Digestion: 10% KOH ( 80 rpm, 60°C, 48 h); density separation: NaI saturated solution",1.02,Not Reported,PET,Optical microscopy
FW_0189,Shrimp (M. dobsoni),Marine animal origin,"Digestion: 10% KOH (60 °C, 24 h)",0,130–286 µm,PP,Optical microscopy
FW_0190,Shrimp (M. monocerous),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h); density separation: NaCl (ρ = 1.2 g/mL)",7.8,< 5000 µm,PA,Optical microscopy
FW_0191,Shrimp (P. hardwickii),Marine animal origin,"Digestion: 10% KOH + 30% H2O2 (60°C, 24 h)",0.95,74–2000 µm,UNKNOWN,Optical microscopy
FW_0192,Shrimp (P. monodon),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h); density separation: NaCl (ρ = 1.2 g/mL)",6.6,< 5000 µm,PA,Optical microscopy
FW_0193,Shrimp (S. mantis),Marine animal origin,"Drying: (60°C, 24 h); density separation: NaCl (ρ = 1.2 g /mL); filtration; digestion; 15% H2O2",1.25,12–5000 µm,PE,Optical microscopy
FW_0194,Shrimp paste,Marine animal origin,Digestion: 30% H2O2 (55–65 ℃); density separation: NaCl (ρ = 250 g/mL),0.6,101–2000 µm,PET,Visual identification
FW_0195,Silver sillago (S. sihama),Marine animal origin,"Digestion: 30% H2O2 (65°C, 24–48 h)",0,Not Reported,UNKNOWN,Optical microscopy
FW_0196,"Snapper (L. johni, L. malabaricus, L. fulviflammus)",Marine animal origin,"Digestion: 30% H2O2 (65°C, 24–48 h)",0,Not Reported,UNKNOWN,Optical microscopy
FW_0197,Spangled emperor (L. nebulosus),Marine animal origin,"Digestion: 30% H2O2 (65°C, 24–48 h)",0,Not Reported,UNKNOWN,Optical microscopy
FW_0198,Squid (N. gouldi),Marine animal origin,"Digestion: 10% KOH (135 rpm, 60°C, 24 h); ASE dichloromethane (180°C, 1500 psi)",0,Not Reported,PS,Py-GC/MS
FW_0199,Squid (U. duvaucelii),Marine animal origin,"Digestion: 10% KOH (60 °C, 24 h)",0.18,130–286 µm,PP,Optical microscopy
FW_0200,Thryssa (T. dussumieri),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h)",0.1,115–210 µm,PE,Optical microscopy
FW_0201,Trevally (C. malabaricus),Marine animal origin,"Digestion: 30% H2O2 (65°C, 24–48 h)",0,Not Reported,UNKNOWN,Optical microscopy
FW_0202,Tuna (Canned in brine),Marine animal origin,"Digestion: 10% KOH (40 °C, 24 h)",0.22,Fibers 1–5 mm Fragments 10–50 µm Films 100–500 µm,PET,Optical microscopy
FW_0203,Tuna (Canned in olive oil),Marine animal origin,"Digestion: 10% KOH (40 °C, 24 h)",0.09,Fibers 1–5 mm Fragments 10–50 µm Films 100–500 µm,PET,Optical microscopy
FW_0204,Tuna (Canned in soybean oil),Marine animal origin,"Digestion: 10% KOH (40 °C, 24 h)",0.07,Fibers 1–5 mm Fragments 10–50 µm Films 100–500 µm,PET,Optical microscopy
FW_0205,Tuna (Canned in sunflower oil),Marine animal origin,"Digestion: 10% KOH (40 °C, 24 h)",0.27,Fibers 1–5 mm Fragments 10–50 µm Films 100–500 µm,PET,Optical microscopy
FW_0206,Tuna (T. tonggol).,Marine animal origin,"Digestion: 30% H2O2 (65°C, 24–48 h)",0,Not Reported,UNKNOWN,Optical microscopy
FW_0207,Urchin,Marine animal origin,"Digestion: 10% KOH (60 rpm, 40°C, 48 h)",2.2,27–4742 µm,CP,Optical microscopy
FW_0208,Urchin (B. lyrifera),Marine animal origin,Digestions: 10% KOH (50°C overnight); density separation: NaCl (ρ = 1.2 g/cm3),1.8,42–9000 µm,PE,Optical microscopy
FW_0209,Chicken breast (Packaged in extruded polyestere tray),Terrestrial animal origin,Rinse: water,4,300 – 450 µm,XPS,Optical microscopy
FW_0210,Chicken crop,Terrestrial animal origin,Density separation: demineralized water,1.5,100 – 5000 µm,UNKNOWN,Optical microscopy
FW_0211,Chicken gizzard,Terrestrial animal origin,Density separation: demineralized water,6.1,1000 – 5000 µm,UNKNOWN,Optical microscopy
FW_0212,Milk,Terrestrial animal origin,Warming,3,100 – 5000 µm,PES,SEM-EDS
FW_0213,Milk (Skimmed),Terrestrial animal origin,Dilution: 1:1 v/v distilled water; sieving (250 µm); digestion: 30% H2O2; sieving (250 µm),16,Fibers 13.45 – 6742.48 µm Particles:  2.48 – 247.54 µm,PE,Optical microscopy
FW_0214,Terrestrail snail  (H. pomatia),Terrestrial animal origin,"Digestion: 22.5M HNO3 (60°C, 2h)",0.01,100 – 2500 µm,UNKNOWN,Optical microscopy
FW_0215,Terrestrial snail (H. aspersa),Terrestrial animal origin,"Digestion: 22.5M HNO3 (60°C, 2h)",0.1,100 – 2500 µm,UNKNOWN,Optical microscopy
FW_0216,Terrestrial snails (H. aperta),Terrestrial animal origin,"Digestion: 22.5M HNO3 (60°C, 2h)",0.04,100 – 2500 µm,UNKNOWN,Optical microscopy
FW_0217,Turkey escalopes (Packaged in extruded polyestere tray),Terrestrial animal origin,Rinse: water,4,300 – 450 µm,XPS,Optical microscopy
FW_0218,Apple (M. domestica),Plant origin,"Exsication (80°C, 24h); digestion: 65% HNO3; density separation: dichloromethane, centrifugation",195500,1.51 – 2.52 µm,UNKNOWN,SEM-EDX
FW_0219,Broccoli (B. oleracea italica),Plant origin,"Exsication (80°C, 24h); digestion: 65% HNO3; density separation: dichloromethane, centrifugation",126150,1.51 – 2.52 µm,UNKNOWN,SEM-EDX
FW_0220,Carrot (D. carota),Plant origin,"Exsication (80°C, 24h); digestion: 65% HNO3; density separation: dichloromethane, centrifugation",101950,1.51 – 2.52 µm,UNKNOWN,SEM-EDX
FW_0221,Lettuce (L. sativa),Plant origin,"Exsication (80°C, 24h); digestion: 65% HNO3; density separation: dichloromethane, centrifugation",50550,1.51 – 2.52 µm,UNKNOWN,SEM-EDX
FW_0222,Nori seaweed (Pyropia spp. - Packed end product),Plant origin,"Digestion: 0.1% cellulase (pH 4.5 - 6.0, 80 rpm, 55℃, 1 h) + alcalase (pH 6.0–7.0, 80 rpm, 55 ℃, 1 h) + 30% H2O2 (80 rpm, 65 ℃, 72 h); density separation: saturated NaCl solution",0.9,110 – 4970 µm,PES,Optical microscopy
FW_0223,Pear (P. communi ),Plant origin,"Exsication (80°C, 24h); digestion: 65% HNO3; density separation: dichloromethane, centrifugation",189550,1.51 – 2.52 µm,UNKNOWN,SEM-EDX
FW_0224,Lake salt,Salt,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h + rt, 48 h); density separation: 4 M NaI (ρ = 1.8 g/mL)",8,Not Reported,PE,Optical microscopy
FW_0225,Lake salt,Salt,"1st digestion (sample): 17.25% H2O2 (120 rpm, 60°C, 72 h); dissolution in filtered water (5:1 v/w). 2nd digestion (precipitate): 35% H2O2 (120 rpm, 60°C, 24 h)",28,100 – 5000 µm,PP,Optical microscopy
FW_0226,Lake salt,Salt,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h + rt, 48 h); dissolution: water (3:1 v/w)",43,45 – 4300 µm,PET,Optical microscopy
FW_0227,Rock salt,Salt,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h + rt, 48 h); density separation: 4 M NaI (ρ = 1.8 g/mL)",9,Not Reported,PP,Optical microscopy
FW_0228,Rock salt,Salt,"1st digestion (sample): 17.25% H2O2 (120 rpm, 60°C, 72 h); dissolution in filtered water (5:1 v/w). 2nd digestion (precipitate): 35% H2O2 (120 rpm, 60°C, 24 h)",0,100 – 5000 µm,PET,Optical microscopy
FW_0229,Rock/well salt,Salt,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h + rt, 48 h); dissolution: water (3:1 v/w)",7,45 – 4300 µm,PET,Optical microscopy
FW_0230,Salt,Salt,Dissolution: deionized water 10:1 v/w; density separation: NaI solution,10,160 – 980 µm,PP,Optical microscopy
FW_0231,Salt,Salt,Dissolution: distilled water (20:1 v/w),212,100 – 5000 µm,UNKNOWN,Optical microscopy
FW_0232,Salt,Salt,Dissolution: filtered water (1:8 v/w),9.77,89.7 – 1474.9 µm,PP,Optical microscopy
FW_0233,Salt,Salt,Dissolution: deionized water (3:1 v/w),1570,4 – 4628 µm,UNKNOWN,Optical microscopy
FW_0234,Salt,Salt,Dissolution: deionized water (3:1 v/w),70,10 – 150 µm,PET,µ-FTIR
FW_0235,Salt,Salt,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h + rt, 48 h); dissolution: water (4:1 v/w)",103,Not Reported,PES,Optical microscopy
FW_0236,Salt,Salt,Dissolution: water (20:3 v/w),6.7,390 – 9360 µm,POLYVINYL,Optical microscopy
FW_0237,Sea salt,Salt,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h + rt, 48 h); density separation: 4 M NaI (ρ = 1.8 g/mL)",16,Not Reported,PU,Optical microscopy
FW_0238,Sea salt,Salt,"Dissolution: distilled water; centrifugation (1900 rpm, 1 h)",50,30 – 3500 µm,PET,Optical microscopy
FW_0239,Sea salt,Salt,"1st digestion (sample): 17.25% H2O2 (120 rpm, 60°C, 72 h); dissolution in filtered water (5:1 v/w). 2nd digestion (precipitate): 35% H2O2 (120 rpm, 60°C, 24 h)",0,100 – 5000 µm,PE,Optical microscopy
FW_0240,Sea salts,Salt,"Digestion: 30% H2O2 (80 rpm, 65°C, 24 h + rt, 48 h); dissolution: water (3:1 v/w)",550,45 – 4300 µm,PET,Optical microscopy
FW_0241,Table salt,Salt,"Digestion: 30% H2O2 (80 rpm, 65°C, 24h); dissolution: distilled water",0.67,3.3 – 4660 µm,PVA,Optical microscopy
FW_0242,Table salt,Salt,"Digestion: 30% H2O2 (65°C, 24 h); dissolution: MilliQ water (80:1 v/w)",467,Not Reported,PA,Optical microscopy
FW_0243,Well salt,Salt,"Dissolution: distilled water; centrifugation (1900 rpm, 1 h)",115,30 – 3500 µm,PET,Optical microscopy
FW_0244,Cane sugar (Unrefined),Honey and Sugar,"Dissolution: deionized water; digestion: 30% H2O2 (rt, 24 h)",560,Not Reported,UNKNOWN,Optical microscopy
FW_0245,Honey,Honey and Sugar,"Dissolution: deionized water; digestion: 30% H2O2 (rt, 24 h); staining: Rose Bengal",10,Not Reported,UNKNOWN,Optical microscopy
FW_0246,Honey,Honey and Sugar,"Dissolution: water (1:1 v/v); digestion: 30% H2O2 (50°C, 1h + rt, 72 h)",0,>30 µm,PET,Optical microscopy
FW_0247,Honey,Honey and Sugar,"Digestion: 30% H2O2 (rt, 72 h)",40,Not Reported,UNKNOWN,Optical microscopy
FW_0248,Honey (craft),Honey and Sugar,Dilution: 1:1 v/v distilled water; sieving (250 µm); digestion: 30% H2O2; sieving (250 µm),36,Fibers:  13.45 – 6742.48 µm Particles:  2.48 – 247.54 µm,PE,Optical microscopy
FW_0249,Honey (industrial ),Honey and Sugar,Dilution: 1:1 v/v distilled water; sieving (250 µm); digestion: 30% H2O2; sieving (250 µm),22,Fibers:  13.45 – 6742.48 µm  Particles:  2.48 – 247.54 µm,PE,Optical microscopy
FW_0250,Sugar (Refined),Honey and Sugar,"Dissolution: deionized water; digestion: 30% H2O2 (rt, 24 h)",217,Not Reported,UNKNOWN,Optical microscopy
FW_0251,Beer,Water and Beverages,Staining: 200 mg/L Rose Bengal,4.05,100 – 5000 µm,UNKNOWN,Optical microscopy
FW_0252,Beer,Water and Beverages,Not Reported,2,Not Reported,UNKNOWN,Optical microscopy
FW_0253,Beer,Water and Beverages,Not Reported,28,103 – 3000 µm,PA,Optical microscopy
FW_0254,Beer (Craft),Water and Beverages,Dilution: 1:1 v/v distilled water; sieving (250 µm); digestion: 30% H2O2; sieving (250 µm),8,Fibers:  13.45 – 6742.48 µm Particles:  2.48 – 247.54 µm,PE,Optical microscopy
FW_0255,Beer (Industrial ),Water and Beverages,Dilution: 1:1 v/v distilled water; sieving (250 µm); digestion: 30% H2O2; sieving (250 µm),29,Fibers:  13.45 – 6742.48 µm Particles:  2.48 – 247.54 µm,PE,Optical microscopy
FW_0256,Bottled water,Water and Beverages,Staining: 200 mg/L Rose Bengal,3.57,100 – 5000 µm,UNKNOWN,Optical microscopy
FW_0257,Bottled water,Water and Beverages,Staining: 20  µg/mL Rose Bengal (30 min),0,1280 – 4200 µm,PE,Miscroscopic observation
FW_0258,Bottled water,Water and Beverages,Staining: 10 μg/mL Nile red (30 min),325,>6.5 µm,PP,Optical microscopy
FW_0259,Bottled water,Water and Beverages,Not Reported,2,25 – 5000 µm,PP,µ-FTIR
FW_0260,Bottled water,Water and Beverages,"Digestion: 65% HNO3; density separation: water + dichloromethane, centrifugation",3.16,1.28 – 4.2 µm,UNKNOWN,SEM-EDX
FW_0261,"Bottled water (""Newish"" reusable PET bottles)",Water and Beverages,Not Reported,2689,> 1 µm,PET,µ-Raman
FW_0262,"Bottled water (""Older"" reusable PET bottles)",Water and Beverages,Not Reported,8339,> 1 µm,PET,µ-Raman
FW_0263,Bottled water (Beverage cartons),Water and Beverages,Not Reported,11,1 – 500 µm,PE,µ-Raman
FW_0264,Bottled water (Glass bottles),Water and Beverages,Not Reported,6292,> 1 µm,PE,µ-Raman
FW_0265,Bottled water (Glass bottles),Water and Beverages,Not Reported,50,1 – 500 µm,PEST,µ-Raman
FW_0266,Bottled water (Glass bottles),Water and Beverages,Not Reported,52,104 – 3000 µm,PA,Optical microscopy
FW_0267,Bottled water (Mineral water),Water and Beverages,Staining: 100  µg/mL 1-pyrenebutyric acid N-hydroxysuccinimidyl ester (PBN),12,40 – 723 µm,UNKNOWN,Fluorescence microscopy
FW_0268,Bottled water (Returnable bottles),Water and Beverages,Not Reported,118,1 – 500 µm,PEST,µ-Raman
FW_0269,Bottled water (Single use PET bottles),Water and Beverages,"Staining: 1 μg/L Nile red (30°C, 30 min)",140,>6.5 µm,PET,Optical microscopy
FW_0270,Bottled water (Single use PET bottles),Water and Beverages,Not Reported,2649,> 1 µm,PET,µ-Raman
FW_0271,"Bottled water (Single use PET bottles, HDPE cap)",Water and Beverages,Not Reported,0,≤3 µm,UNKNOWN,SEM-EDS
FW_0272,Bottled water (Single-use bottles),Water and Beverages,Not Reported,14,1 – 500 µm,PEST,µ-Raman
FW_0273,Bottled water (Sparkling water),Water and Beverages,Staining: 100  µg/mL 1-pyrenebutyric acid N-hydroxysuccinimidyl ester (PBN),6,40 – 723 µm,UNKNOWN,Fluorescence microscopy
FW_0274,Drinking water,Water and Beverages,"Digestion: 37 % HCl (pH 1.3 - 1.5, rt, 24 - 48 h)",0,>10 µm,UNKNOWN,µ-Raman spectroscopy
FW_0275,Drinking water (High-performance drinking water treatment plant),Water and Beverages,Density separation: sodium polytungstate solution (ρ = 1.8 g/mL),0.174,8 – 374 µm,PA,µ-FTIR
FW_0276,Energy drink,Water and Beverages,Not Reported,6,102 – 3000 µm,PA,Optical microscopy
FW_0277,Groundwater,Water and Beverages,Not Reported,0,5 – 1000 µm,PE,µ-Raman
FW_0278,Iced tea,Water and Beverages,Not Reported,1,100 – 3000 µm,PA,Optical microscopy
FW_0279,Refreshing beverages,Water and Beverages,Dilution: 1:1 v/v distilled water; sieving (250 µm); digestion: 30% H2O2; sieving (250 µm),8,Fibers:  13.45 – 6742.48 µm Particles:  2.48 – 247.54 µm,PE,Optical microscopy
FW_0280,Soft drink,Water and Beverages,Not Reported,7,101 – 3000 µm,PA,Optical microscopy
FW_0281,Tap water,Water and Beverages,Staining: 200 mg/L Rose Bengal,5.45,100 – 5000 µm,UNKNOWN,Optical microscopy
FW_0282,Tap water,Water and Beverages,Not Reported,0,5 – 1000 µm,PE,µ-Raman
FW_0283,Tap water,Water and Beverages,"Digestion: 1.17 g/L HCl (24 h); staining: 5  µg/mL Nile red (rt, 30 min)",0,3 – 4453 µm,PE,Fluorescence microscopy
FW_0284,Tap water,Water and Beverages,Not Reported,0.3,Not Reported,RY,Optical microscopy
FW_0285,Tap water (Output of water treatment plant),Water and Beverages,Not Reported,0.06,20 – 5000 µm,PES,Optical microscopy
FW_0286,Tap water (Treated),Water and Beverages,Not Reported,0.0007,50 – 150 µm,PES,µ-FTIR
FW_0287,Tap water (Treated),Water and Beverages,"Digestion: 30% H2O2 (75°C, 30 min)",338,>1 µm,PET,SEM
FW_0288,Wine,Water and Beverages,Staining: 0.01 mg/mL Nile red,2563,Not Reported,UNKNOWN,Fluorescence microscopy
FW_0289,Disposable paper cups (hidrophobic inner layer),Food Containers,"Soaking: MilliQ water (85 - 90°C, 15 min); staining: Nile red (protocol not reported)",250,25.9 – 764.8 µm,HDPE,Fluorescence microscopy
FW_0290,Disposable paper cups (hidrophobic inner layer),Food Containers,"Soaking: MilliQ water (85 - 90°C, 15 min); staining: Nile red (protocol not reported)",102.3,0.105 – 4.277 µm,HDPE,SEM
FW_0291,Disposable PP container (Rectangular),Food Containers,"Rinse: ultrapure water (mecanichal shake, 2-3 min)",0,0 – 210 nm,PP,FTIR
FW_0292,Disposable PP container (Round),Food Containers,"Rinse: ultrapure water (mecanichal shake, 2-3 min)",0,0 – 210 nm,PP,FTIR
FW_0293,Disposable PP cup,Food Containers,"Rinse: ultrapure water (mecanichal shake, 2-3 min)",0,0 – 210 nm,PP,FTIR
FW_0294,Infant feeding bottles (PP),Food Containers,"Starilization: deionized water (95°C, 5 min);  soaking: deionized water (180 rpm, 70 °C, 1 min)",1,Not Reported,PP,µ-Raman
FW_0295,Infant feeding bottles with PP accessories (gravity ball and round disk),Food Containers,"Starilization: deionized water (95°C, 5 min);  soaking: deionized water (180 rpm, 70 °C, 1 min)",69,Not Reported,PP,µ-Raman
FW_0296,Take-out food container (PE),Food Containers,Rinse: MiiliQ water,5,43 – 500 µm,RY,FTIR
FW_0297,Take-out food container (PET),Food Containers,Rinse: MiiliQ water,3,43 – 500 µm,RY,FTIR
FW_0298,Take-out food container (PP),Food Containers,Rinse: MiiliQ water,9,43 – 500 µm,RY,FTIR
FW_0299,Take-out food container (PS),Food Containers,Rinse: MiiliQ water,29,43 – 500 µm,RY,FTIR
FW_0300,Teabags,Food Containers,"Soaking: ultra pure water (100°C, 10 min)",1.9,1.04 – 4.55 µm,PS,spICP-MS
FW_0301,Teabags (Plastic),Food Containers,"Soaking: revers osmosis water (95°C, 10 min)",14702.3,0.017 – 270 µm,PET,SEM
